year,month,day,max,min
2018,1,day1,20.836561,16.736518
2018,1,day10,21.856583,17.830588
2018,1,day11,21.834916,15.042358
2018,1,day12,19.041503,14.419585
2018,1,day13,22.743278,17.3969
2018,1,day14,17.556475,13.16961
2018,1,day15,22.084966,15.670062
2018,1,day16,21.84277,14.923842
2018,1,day17,20.217369,12.324905
2018,1,day18,19.271206,13.063044
2018,1,day19,21.976428,15.502349
2018,1,day2,18.650176,13.757333
2018,1,day20,22.170241,15.860833
2018,1,day21,21.227431,17.044133
2018,1,day22,18.36739,13.209838
2018,1,day23,17.478752,12.547588
2018,1,day24,17.606009,12.494114
2018,1,day25,20.814107,15.354778
2018,1,day26,19.221086,14.383058
2018,1,day27,18.601867,10.855249
2018,1,day28,20.888212,14.451688
2018,1,day29,18.026832,11.110325
2018,1,day3,21.418827,14.712029
2018,1,day30,17.980415,12.462593
2018,1,day31,22.93714,16.377141
2018,1,day4,22.353077,18.005322
2018,1,day5,19.531531,15.412342
2018,1,day6,18.311828,12.290407
2018,1,day7,17.159216,12.363865
2018,1,day8,20.899307,14.719541
2018,1,day9,18.322644,11.965581
2018,2,day1,24.341698,17.603241
2018,2,day10,24.368209,19.317242
2018,2,day11,24.507516,16.916224
2018,2,day12,23.396403,18.51912
2018,2,day13,26.985226,20.94712
2018,2,day14,21.545456,17.356991
2018,2,day15,21.657895,15.148111
2018,2,day16,25.752476,20.063836
2018,2,day17,21.381166,15.854689
2018,2,day18,26.976728,20.860271
2018,2,day19,26.82647,19.383351
2018,2,day2,26.057112,18.953112
2018,2,day20,21.068886,14.185999
2018,2,day21,25.090262,18.942381
2018,2,day22,22.600951,16.037104
2018,2,day23,21.669313,15.930252
2018,2,day24,23.722342,15.907079
2018,2,day25,26.255118,21.201561
2018,2,day26,24.003517,19.288909
2018,2,day27,26.475767,18.993693
2018,2,day28,22.790669,16.234871
2018,2,day29,24.653821,20.042464
2018,2,day3,22.374288,18.245887
2018,2,day30,25.575065,19.417549
2018,2,day31,25.671759,19.550344
2018,2,day4,22.892718,17.821755
2018,2,day5,22.265897,14.494258
2018,2,day6,26.258206,20.999494
2018,2,day7,24.932632,19.350104
2018,2,day8,26.487286,20.651878
2018,2,day9,22.589281,17.602771
2018,3,day1,23.931635,18.63501
2018,3,day10,25.518543,18.028811
2018,3,day11,26.467031,21.619838
2018,3,day12,27.16398,20.244255
2018,3,day13,25.13511,19.888244
2018,3,day14,29.899099,23.299587
2018,3,day15,26.556804,20.4865
2018,3,day16,24.654228,19.755439
2018,3,day17,25.956717,19.603482
2018,3,day18,25.308892,20.428022
2018,3,day19,24.354162,17.82975
2018,3,day2,24.045064,16.328669
2018,3,day20,25.301854,17.680174
2018,3,day21,29.086016,24.802586
2018,3,day22,25.356231,18.68032
2018,3,day23,25.213624,20.684377
2018,3,day24,29.541289,23.257116
2018,3,day25,26.764229,19.625752
2018,3,day26,28.773185,24.011546
2018,3,day27,24.509788,18.785583
2018,3,day28,26.469675,20.601576
2018,3,day29,28.302658,21.6092
2018,3,day3,29.200534,21.873872
2018,3,day30,29.833194,25.439523
2018,3,day31,26.343931,20.986721
2018,3,day4,25.773288,21.541587
2018,3,day5,29.196261,21.408463
2018,3,day6,24.442124,18.498162
2018,3,day7,24.343478,17.30107
2018,3,day8,28.52321,24.009644
2018,3,day9,26.779897,20.580683
2018,4,day1,30.170035,25.17541
2018,4,day10,27.913847,23.058858
2018,4,day11,27.406242,23.1717
2018,4,day12,27.273839,19.332603
2018,4,day13,26.591218,19.454936
2018,4,day14,27.73005,22.03802
2018,4,day15,30.743906,22.762215
2018,4,day16,28.33461,21.460977
2018,4,day17,25.928781,20.74195
2018,4,day18,30.812256,24.495535
2018,4,day19,28.253171,21.261269
2018,4,day2,26.141253,20.346799
2018,4,day20,25.342992,19.006281
2018,4,day21,28.017102,20.606223
2018,4,day22,25.944596,18.101481
2018,4,day23,25.480669,20.737369
2018,4,day24,28.570211,21.86936
2018,4,day25,26.411223,21.931677
2018,4,day26,30.341724,25.356862
2018,4,day27,28.567115,22.089589
2018,4,day28,27.515349,21.18066
2018,4,day29,28.136696,20.397871
2018,4,day3,27.53129,22.417109
2018,4,day30,26.225555,19.360788
2018,4,day31,26.432116,20.848972
2018,4,day4,26.498839,18.805776
2018,4,day5,27.658784,20.213388
2018,4,day6,28.301952,24.099599
2018,4,day7,30.995695,23.651584
2018,4,day8,30.813978,23.10851
2018,4,day9,30.092174,25.42693
2018,5,day1,27.958345,22.758356
2018,5,day10,27.59827,19.649338
2018,5,day11,27.852061,23.820769
2018,5,day12,28.830828,23.633313
2018,5,day13,27.908536,20.152816
2018,5,day14,24.73395,20.272235
2018,5,day15,24.570419,18.357525
2018,5,day16,25.562293,19.142973
2018,5,day17,28.233876,23.419487
2018,5,day18,27.733631,22.677695
2018,5,day19,26.859394,19.238048
2018,5,day2,25.825266,18.817808
2018,5,day20,29.004826,24.635632
2018,5,day21,26.469658,21.362937
2018,5,day22,23.949477,16.865
2018,5,day23,27.750883,22.703062
2018,5,day24,28.375589,22.168867
2018,5,day25,26.494325,22.455646
2018,5,day26,24.379666,16.847241
2018,5,day27,29.351775,23.169414
2018,5,day28,28.935773,22.605735
2018,5,day29,24.816766,20.306984
2018,5,day3,24.363462,18.53032
2018,5,day30,25.777753,18.181827
2018,5,day31,28.704937,21.262127
2018,5,day4,29.91893,21.934544
2018,5,day5,24.367768,19.51515
2018,5,day6,25.519406,17.786368
2018,5,day7,29.213388,21.696307
2018,5,day8,26.145366,21.514378
2018,5,day9,28.930673,22.116513
2018,6,day1,26.393548,21.553242
2018,6,day10,25.813411,18.357155
2018,6,day11,25.864496,20.797273
2018,6,day12,25.724247,21.291865
2018,6,day13,26.233001,18.798628
2018,6,day14,22.334602,15.068256
2018,6,day15,23.761819,18.541056
2018,6,day16,25.772073,20.861691
2018,6,day17,21.141987,16.369467
2018,6,day18,22.969572,15.51216
2018,6,day19,26.801335,21.684835
2018,6,day2,22.497178,18.086004
2018,6,day20,24.84889,19.250177
2018,6,day21,26.886898,20.742035
2018,6,day22,26.635423,22.174056
2018,6,day23,26.822404,22.108132
2018,6,day24,26.775206,21.71334
2018,6,day25,21.650415,15.91216
2018,6,day26,25.37127,20.116561
2018,6,day27,24.637253,18.591561
2018,6,day28,23.311173,17.00482
2018,6,day29,22.528335,15.693194
2018,6,day3,25.680697,18.144159
2018,6,day30,21.010148,13.307847
2018,6,day31,24.230712,17.352992
2018,6,day4,23.438264,16.955618
2018,6,day5,21.92732,14.207796
2018,6,day6,26.187634,18.28281
2018,6,day7,25.86463,18.338966
2018,6,day8,21.148718,14.20246
2018,6,day9,22.993113,15.269849
2018,7,day1,21.4517,14.769186
2018,7,day10,22.416833,15.954774
2018,7,day11,18.805699,12.61395
2018,7,day12,17.002436,11.854781
2018,7,day13,19.579329,13.25939
2018,7,day14,20.928234,15.068281
2018,7,day15,19.652959,14.798153
2018,7,day16,19.839117,12.234394
2018,7,day17,21.776149,17.097383
2018,7,day18,17.508773,11.446965
2018,7,day19,20.797645,15.456892
2018,7,day2,19.185329,14.905434
2018,7,day20,21.910541,14.905988
